enhancer	genes
humGainReg1606	ENSG00000145835,ENSG00000157851,ENSG00000084764,ENSG00000230286,ENSG00000205500,ENSG00000084764
humGainReg1625	ENSG00000138095,ENSG00000259439
humGainReg1628	ENSG00000138078,ENSG00000143919,ENSG00000252896
humGainReg1629	ENSG00000138078,ENSG00000143919,ENSG00000252896
humGainReg1646	ENSG00000235725,ENSG00000226819,ENSG00000143995,ENSG00000230749,ENSG00000244522,ENSG00000143995
humGainReg1649	ENSG00000179818,ENSG00000233060,ENSG00000169564,ENSG00000226505,ENSG00000225392
humGainReg1650	ENSG00000059728,ENSG00000179818,ENSG00000233060,ENSG00000169564,ENSG00000226505,ENSG00000225392,ENSG00000116039,ENSG00000239322
humGainReg1651	ENSG00000135636,ENSG00000003137,ENSG00000144036
humGainReg1654	ENSG00000003137,ENSG00000212378
humGainReg1655	ENSG00000135636
humGainReg1667	ENSG00000233671
humGainReg1668	ENSG00000231259
humGainReg1671	ENSG00000244116
humGainReg1675	ENSG00000243039,ENSG00000231584,ENSG00000186281,ENSG00000121152,ENSG00000264157,ENSG00000273265,ENSG00000168763,ENSG00000163126,ENSG00000188383
humGainReg1678	ENSG00000075568
humGainReg1685	ENSG00000234148,ENSG00000225398,ENSG00000240356
humGainReg1687	ENSG00000136682,ENSG00000238091
humGainReg1692	ENSG00000163064,ENSG00000258910,ENSG00000163064
humGainReg170	ENSG00000184588
humGainReg1706	ENSG00000180178,ENSG00000224087,ENSG00000252223,ENSG00000229797,ENSG00000178171
humGainReg1707	ENSG00000230065
humGainReg172	ENSG00000142864
humGainReg1727	ENSG00000213148
humGainReg1731	ENSG00000138435
humGainReg1735	ENSG00000236501,ENSG00000237178,ENSG00000238295
humGainReg1736	ENSG00000236501,ENSG00000237178,ENSG00000238295
humGainReg174	ENSG00000226415
humGainReg1744	ENSG00000260171,ENSG00000253008,ENSG00000221628
humGainReg1745	ENSG00000213083,ENSG00000232125,ENSG00000260171
humGainReg1757	ENSG00000079308
humGainReg1758	ENSG00000144589
humGainReg1766	ENSG00000085449,ENSG00000135919,ENSG00000224826
humGainReg1773	ENSG00000163273,ENSG00000230122,ENSG00000266620,ENSG00000221944,ENSG00000135930,ENSG00000237126,ENSG00000115468,ENSG00000244384
humGainReg1774	ENSG00000144524,ENSG00000163273,ENSG00000230122
humGainReg1775	ENSG00000144524,ENSG00000163273,ENSG00000230122
humGainReg1776	ENSG00000085978
humGainReg1785	ENSG00000231032,ENSG00000157985
humGainReg1789	ENSG00000233611,ENSG00000168505
humGainReg1791	ENSG00000228499,ENSG00000157985
humGainReg1795	ENSG00000132321,ENSG00000270540,ENSG00000132321,ENSG00000144476,ENSG00000232328
humGainReg18	ENSG00000207056
humGainReg1804	ENSG00000130414
humGainReg1805	ENSG00000264292,ENSG00000130414
humGainReg1806	ENSG00000068024,ENSG00000068024,ENSG00000264292,ENSG00000259889,ENSG00000130414
humGainReg1809	ENSG00000125775
humGainReg1816	ENSG00000212536
humGainReg183	ENSG00000233593
humGainReg1834	ENSG00000225803,ENSG00000088970
humGainReg1873	ENSG00000235166
humGainReg1890	ENSG00000235590,ENSG00000268333,ENSG00000087460,ENSG00000235590,ENSG00000087460,ENSG00000233686
humGainReg1898	ENSG00000125533
humGainReg1900	ENSG00000101194,ENSG00000101203,ENSG00000222439,ENSG00000101210,ENSG00000198276,ENSG00000267848,ENSG00000198276,ENSG00000196700,ENSG00000130590,ENSG00000101161,ENSG00000198276,ENSG00000267848,ENSG00000198276,ENSG00000196700,ENSG00000130590,ENSG00000101161,ENSG00000125522,ENSG00000125522
humGainReg1901	ENSG00000215559,ENSG00000266838,ENSG00000224524,ENSG00000224247
humGainReg1909	ENSG00000237945,ENSG00000244294,ENSG00000225555,ENSG00000205670,ENSG00000222018,ENSG00000273104,ENSG00000272958,ENSG00000243627,ENSG00000221398,ENSG00000180509
humGainReg1914	ENSG00000159216
humGainReg1931	ENSG00000142156
humGainReg1960	ENSG00000100307,ENSG00000209482,ENSG00000100316,ENSG00000263764,ENSG00000100316
humGainReg1965	ENSG00000259421
humGainReg1974	ENSG00000260655,ENSG00000263463,ENSG00000234965,ENSG00000159958
humGainReg2000	ENSG00000100239,ENSG00000100241,ENSG00000128165,ENSG00000008735,ENSG00000079974,ENSG00000184319,ENSG00000079974,ENSG00000184319,ENSG00000184319,ENSG00000079974,ENSG00000184319
humGainReg2021	ENSG00000151092,ENSG00000151093
humGainReg2029	ENSG00000235257
humGainReg2032	ENSG00000223668
humGainReg2033	ENSG00000207512,ENSG00000157036,ENSG00000230683,ENSG00000232439
humGainReg2038	ENSG00000177479,ENSG00000235236,ENSG00000223343,ENSG00000273211,ENSG00000178467,ENSG00000272434,ENSG00000178035,ENSG00000225399,ENSG00000114316,ENSG00000164062,ENSG00000164068,ENSG00000183763,ENSG00000232352,ENSG00000012171,ENSG00000179564,ENSG00000214706,ENSG00000186792,ENSG00000243477,ENSG00000114378
humGainReg2047	ENSG00000126062,ENSG00000007402,ENSG00000088543,ENSG00000114735,ENSG00000145050,ENSG00000179837,ENSG00000145041,ENSG00000270692
humGainReg2059	ENSG00000240359,ENSG00000163630
humGainReg206	ENSG00000270380,ENSG00000143125
humGainReg2065	ENSG00000241537,ENSG00000144736,ENSG00000144736
humGainReg208	ENSG00000224965,ENSG00000116396
humGainReg2080	ENSG00000065534
humGainReg2082	ENSG00000239978,ENSG00000265166,ENSG00000179170,ENSG00000242229
humGainReg2084	ENSG00000221955,ENSG00000234458
humGainReg2085	ENSG00000082781,ENSG00000082781
humGainReg2086	ENSG00000239978,ENSG00000265166,ENSG00000179170,ENSG00000171084
humGainReg2092	ENSG00000248459
humGainReg210	ENSG00000231437,ENSG00000171385
humGainReg2113	ENSG00000169282,ENSG00000242537,ENSG00000169282
humGainReg2147	ENSG00000270959,ENSG00000145012
humGainReg2151	ENSG00000214145,ENSG00000178772,ENSG00000133657
humGainReg2154	ENSG00000223986,ENSG00000214145
humGainReg2155	ENSG00000223986,ENSG00000214145
humGainReg2156	ENSG00000223986
humGainReg2157	ENSG00000223986
humGainReg2158	ENSG00000198836,ENSG00000243991,ENSG00000223986,ENSG00000133657,ENSG00000145014
humGainReg2168	ENSG00000221718,ENSG00000041802,ENSG00000185112,ENSG00000233987,ENSG00000237222
humGainReg217	ENSG00000260941,ENSG00000198857
humGainReg2170	ENSG00000221718,ENSG00000041802,ENSG00000185112,ENSG00000233987,ENSG00000237222
humGainReg2171	ENSG00000242086,ENSG00000072274,ENSG00000161217,ENSG00000185798,ENSG00000174013,ENSG00000214135
humGainReg2172	ENSG00000075711,ENSG00000214135,ENSG00000273375,ENSG00000186001,ENSG00000226435
humGainReg2173	ENSG00000248302,ENSG00000133256,ENSG00000242686,ENSG00000133256,ENSG00000272927,ENSG00000272588,ENSG00000233799,ENSG00000145214,ENSG00000127415,ENSG00000145217,ENSG00000127415,ENSG00000127418,ENSG00000178222,ENSG00000163945,ENSG00000244459,ENSG00000174137,ENSG00000163950,ENSG00000168936,ENSG00000270195,ENSG00000168936,ENSG00000013810,ENSG00000168924,ENSG00000185049
humGainReg2176	ENSG00000133256,ENSG00000133256,ENSG00000242686,ENSG00000133256,ENSG00000272927,ENSG00000178222,ENSG00000251652,ENSG00000251652,ENSG00000244459,ENSG00000174137,ENSG00000163950,ENSG00000168936,ENSG00000270195,ENSG00000168936,ENSG00000013810,ENSG00000239247
humGainReg2177	ENSG00000133256,ENSG00000133256,ENSG00000242686,ENSG00000133256,ENSG00000272927,ENSG00000178222,ENSG00000251652,ENSG00000251652,ENSG00000244459,ENSG00000174137,ENSG00000163950,ENSG00000168936,ENSG00000270195,ENSG00000168936,ENSG00000013810,ENSG00000239247
humGainReg2185	ENSG00000251075,ENSG00000197386,ENSG00000159788,ENSG00000109758,ENSG00000175920,ENSG00000175920,ENSG00000261643,ENSG00000234386,ENSG00000249522,ENSG00000271977,ENSG00000251271,ENSG00000253917,ENSG00000251669,ENSG00000250476,ENSG00000264106,ENSG00000243894,ENSG00000221301,ENSG00000250940
humGainReg219	ENSG00000162825,ENSG00000255854,ENSG00000271223,ENSG00000178104,ENSG00000268172
humGainReg2193	ENSG00000251271,ENSG00000253917,ENSG00000251669,ENSG00000250476
humGainReg2195	ENSG00000264106,ENSG00000168818,ENSG00000248221
humGainReg2196	ENSG00000251271,ENSG00000253917,ENSG00000251669,ENSG00000250476,ENSG00000243894,ENSG00000221301,ENSG00000250940,ENSG00000168818,ENSG00000248221
humGainReg2197	ENSG00000249896,ENSG00000251408,ENSG00000152969,ENSG00000074211
humGainReg220	ENSG00000162825,ENSG00000255854,ENSG00000271223,ENSG00000178104,ENSG00000268172
humGainReg2225	ENSG00000196472,ENSG00000250696
humGainReg2230	ENSG00000249307,ENSG00000249307,ENSG00000249307,ENSG00000251399
humGainReg2245	ENSG00000272795,ENSG00000205403,ENSG00000109534,ENSG00000180245,ENSG00000138798,ENSG00000207260
humGainReg225	ENSG00000237920,ENSG00000226855,ENSG00000203761
humGainReg2255	ENSG00000170153
humGainReg2270	ENSG00000251445,ENSG00000145439,ENSG00000154447
humGainReg2272	ENSG00000250957
humGainReg2282	ENSG00000252157,ENSG00000182552,ENSG00000251739,ENSG00000168538
humGainReg2283	ENSG00000164303
humGainReg2284	ENSG00000164303
humGainReg229	ENSG00000259788,ENSG00000117143
humGainReg2291	ENSG00000180712
humGainReg2292	ENSG00000109762,ENSG00000250410,ENSG00000109771,ENSG00000186352,ENSG00000109775,ENSG00000207231,ENSG00000109775,ENSG00000205129
humGainReg2311	ENSG00000063438,ENSG00000264233,ENSG00000271781,ENSG00000028310,ENSG00000071539,ENSG00000164362,ENSG00000185986,ENSG00000271119,ENSG00000248126,ENSG00000232615,ENSG00000188002,ENSG00000260066
humGainReg2313	ENSG00000185028,ENSG00000261434,ENSG00000073578,ENSG00000063438,ENSG00000215246,ENSG00000203594,ENSG00000145506,ENSG00000221244,ENSG00000272347,ENSG00000113504,ENSG00000263834,ENSG00000113504,ENSG00000113504,ENSG00000164362,ENSG00000049656,ENSG00000171421,ENSG00000145494
humGainReg2315	ENSG00000073578,ENSG00000264233,ENSG00000171368,ENSG00000206077,ENSG00000248949,ENSG00000215246,ENSG00000203594,ENSG00000145506,ENSG00000221244,ENSG00000272347,ENSG00000142319,ENSG00000153395,ENSG00000185986,ENSG00000271119,ENSG00000248126,ENSG00000232615,ENSG00000188002
humGainReg2316	ENSG00000214278,ENSG00000066230,ENSG00000185986,ENSG00000271119,ENSG00000248126,ENSG00000232615,ENSG00000188002
humGainReg2335	ENSG00000170561,ENSG00000186493,ENSG00000170561
humGainReg2345	ENSG00000037474
humGainReg2354	ENSG00000250807,ENSG00000250088,ENSG00000250558,ENSG00000249427,ENSG00000249329,ENSG00000248422
humGainReg2362	ENSG00000215156,ENSG00000215158
humGainReg2363	ENSG00000215156
humGainReg2367	ENSG00000249491,ENSG00000248234,ENSG00000164318,ENSG00000251257,ENSG00000164318,ENSG00000113594
humGainReg2369	ENSG00000259663,ENSG00000016082
humGainReg2378	ENSG00000183900,ENSG00000247993,ENSG00000251493,ENSG00000251604,ENSG00000251324
humGainReg2387	ENSG00000171540
humGainReg2388	ENSG00000171540
humGainReg239	ENSG00000235628
humGainReg2394	ENSG00000145687
humGainReg241	ENSG00000121446,ENSG00000135828,ENSG00000143333,ENSG00000261504,ENSG00000226570,ENSG00000157060,ENSG00000176855,ENSG00000264768
humGainReg2427	ENSG00000240611
humGainReg2428	ENSG00000155329
humGainReg243	ENSG00000135828,ENSG00000143333,ENSG00000261504
humGainReg2447	ENSG00000186314
humGainReg245	ENSG00000116750
humGainReg2455	ENSG00000113722,ENSG00000171992
humGainReg2458	ENSG00000197043,ENSG00000254298,ENSG00000197043
humGainReg247	ENSG00000202491,ENSG00000118200
humGainReg2476	ENSG00000253792,ENSG00000253673,ENSG00000254047,ENSG00000164330
humGainReg2493	ENSG00000134516,ENSG00000253348
humGainReg2501	ENSG00000213393,ENSG00000265740,ENSG00000254256,ENSG00000206909,ENSG00000254012,ENSG00000264249,ENSG00000181163
