enhancer	genes
humGainReg387	ENSG00000197467
humGainReg393	ENSG00000172731,ENSG00000224725
humGainReg394	ENSG00000180817
humGainReg395	ENSG00000232142,ENSG00000180817
humGainReg396	ENSG00000232142
humGainReg397	ENSG00000138316,ENSG00000166220
humGainReg398	ENSG00000107731,ENSG00000216004,ENSG00000237512
humGainReg399	ENSG00000166224
humGainReg403	ENSG00000238918,ENSG00000107736
humGainReg404	ENSG00000230526
humGainReg42	ENSG00000252151
humGainReg425	ENSG00000184923,ENSG00000228055
humGainReg433	ENSG00000095637
humGainReg44	ENSG00000252151
humGainReg445	ENSG00000148700
humGainReg46	ENSG00000252151,ENSG00000215704
humGainReg466	ENSG00000119979,ENSG00000228485,ENSG00000242853,ENSG00000198873
humGainReg468	ENSG00000066468,ENSG00000223432,ENSG00000107669
humGainReg469	ENSG00000066468,ENSG00000223432
humGainReg479	ENSG00000233334,ENSG00000214807
humGainReg480	ENSG00000228021,ENSG00000224023,ENSG00000234134,ENSG00000107938,ENSG00000236991,ENSG00000107938
humGainReg481	ENSG00000228021,ENSG00000224023,ENSG00000234134,ENSG00000107938,ENSG00000236991,ENSG00000107938
humGainReg484	ENSG00000228021,ENSG00000224023,ENSG00000234134,ENSG00000107938,ENSG00000236991,ENSG00000107938
humGainReg495	ENSG00000108001
humGainReg5	ENSG00000149527,ENSG00000197921,ENSG00000157873,ENSG00000272449,ENSG00000238164,ENSG00000157873,ENSG00000225931,ENSG00000233234,ENSG00000231630,ENSG00000169717,ENSG00000177133,ENSG00000256761,ENSG00000142611,ENSG00000177133
humGainReg50	ENSG00000142621
humGainReg517	ENSG00000171813
humGainReg52	ENSG00000185519,ENSG00000142627,ENSG00000266584,ENSG00000225710
humGainReg520	ENSG00000215182
humGainReg522	ENSG00000205864,ENSG00000205865,ENSG00000227306,ENSG00000226416,ENSG00000232987,ENSG00000130600
humGainReg534	ENSG00000064201,ENSG00000223756
humGainReg535	ENSG00000064201,ENSG00000223756
humGainReg541	ENSG00000130413
humGainReg556	ENSG00000170959
humGainReg557	ENSG00000170959,ENSG00000254836
humGainReg56	ENSG00000117154,ENSG00000225387,ENSG00000009709
humGainReg564	ENSG00000179431
humGainReg576	ENSG00000254728,ENSG00000255527
humGainReg577	ENSG00000254728,ENSG00000255527
humGainReg589	ENSG00000240823
humGainReg590	ENSG00000250659,ENSG00000124942,ENSG00000254772,ENSG00000255508,ENSG00000149016,ENSG00000149499,ENSG00000149489,ENSG00000149541,ENSG00000089597,ENSG00000185085,ENSG00000206597,ENSG00000255432,ENSG00000162194,ENSG00000214756,ENSG00000204922,ENSG00000162194,ENSG00000168000,ENSG00000162188,ENSG00000168003
humGainReg591	ENSG00000250659,ENSG00000124942,ENSG00000254772,ENSG00000255508,ENSG00000149016,ENSG00000149499,ENSG00000149489,ENSG00000149541,ENSG00000089597,ENSG00000185085,ENSG00000206597,ENSG00000255432,ENSG00000162194,ENSG00000214756,ENSG00000204922,ENSG00000162194,ENSG00000168000,ENSG00000162188,ENSG00000168003
humGainReg597	ENSG00000173039,ENSG00000174996,ENSG00000174903,ENSG00000254461,ENSG00000254855,ENSG00000254762,ENSG00000174871,ENSG00000174851,ENSG00000179292,ENSG00000245156,ENSG00000254452
humGainReg602	ENSG00000173020,ENSG00000172932,ENSG00000172830,ENSG00000175482,ENSG00000201684,ENSG00000251637,ENSG00000206587
humGainReg603	ENSG00000160172
humGainReg62	ENSG00000158816,ENSG00000158816
humGainReg622	ENSG00000221458,ENSG00000239481
humGainReg623	ENSG00000254805,ENSG00000254972,ENSG00000223235
humGainReg624	ENSG00000221458,ENSG00000239481
humGainReg625	ENSG00000254805,ENSG00000254972,ENSG00000223235
humGainReg627	ENSG00000255261,ENSG00000221458,ENSG00000239481,ENSG00000158483
humGainReg628	ENSG00000254978,ENSG00000264091,ENSG00000256568,ENSG00000171631,ENSG00000110237,ENSG00000266866,ENSG00000110237
humGainReg629	ENSG00000255157,ENSG00000110203,ENSG00000256568
humGainReg630	ENSG00000186642,ENSG00000245148,ENSG00000186635,ENSG00000244134,ENSG00000186635,ENSG00000265064,ENSG00000214530,ENSG00000168010,ENSG00000137478
humGainReg631	ENSG00000186642,ENSG00000245148,ENSG00000186635,ENSG00000244134,ENSG00000186635,ENSG00000265064,ENSG00000214530,ENSG00000168010,ENSG00000137478
humGainReg636	ENSG00000077514
humGainReg639	ENSG00000255255,ENSG00000255081,ENSG00000198382
humGainReg642	ENSG00000255507,ENSG00000198382
humGainReg656	ENSG00000255428
humGainReg665	ENSG00000110274
humGainReg666	ENSG00000110274,ENSG00000254844,ENSG00000177103,ENSG00000137731,ENSG00000254528,ENSG00000137726
humGainReg678	ENSG00000203306,ENSG00000134955,ENSG00000150433,ENSG00000255475
humGainReg679	ENSG00000222297,ENSG00000149547
humGainReg68	ENSG00000117298,ENSG00000228823,ENSG00000162551,ENSG00000266564,ENSG00000184677,ENSG00000215906
humGainReg690	ENSG00000254842,ENSG00000255455,ENSG00000120451
humGainReg699	ENSG00000204241,ENSG00000254648
humGainReg713	ENSG00000256672,ENSG00000082805
humGainReg732	ENSG00000271357,ENSG00000151746
humGainReg738	ENSG00000255863
humGainReg739	ENSG00000050438
humGainReg759	ENSG00000139291,ENSG00000080371
humGainReg76	ENSG00000228823
humGainReg766	ENSG00000257501,ENSG00000201296
humGainReg78	ENSG00000265422,ENSG00000133216
humGainReg783	ENSG00000257603,ENSG00000257997
humGainReg790	ENSG00000256071
humGainReg796	ENSG00000089163,ENSG00000201945,ENSG00000223538
humGainReg809	ENSG00000256424,ENSG00000061936,ENSG00000061936,ENSG00000200516,ENSG00000200483,ENSG00000198598
humGainReg816	ENSG00000182957
humGainReg818	ENSG00000231983,ENSG00000180730,ENSG00000234706
humGainReg819	ENSG00000231983,ENSG00000180730
humGainReg824	ENSG00000238121,ENSG00000225039
humGainReg832	ENSG00000168852,ENSG00000176268
humGainReg834	ENSG00000227848,ENSG00000136143,ENSG00000224510,ENSG00000225131
humGainReg838	ENSG00000272281
humGainReg839	ENSG00000272281,ENSG00000272281
humGainReg840	ENSG00000197991
humGainReg845	ENSG00000215417
humGainReg85	ENSG00000266468,ENSG00000188672,ENSG00000197245,ENSG00000225854,ENSG00000176092
humGainReg850	ENSG00000235137
humGainReg852	ENSG00000152767
humGainReg856	ENSG00000088386,ENSG00000088387,ENSG00000139800,ENSG00000043355,ENSG00000175198,ENSG00000134864,ENSG00000224356,ENSG00000134864,ENSG00000237082
humGainReg858	ENSG00000236554,ENSG00000224356,ENSG00000134864,ENSG00000237082
humGainReg874	ENSG00000100867
humGainReg880	ENSG00000129493,ENSG00000250365,ENSG00000203546,ENSG00000129480,ENSG00000239323,ENSG00000151413,ENSG00000151413,ENSG00000257155,ENSG00000151413
humGainReg887	ENSG00000139865
humGainReg901	ENSG00000258592
humGainReg902	ENSG00000258592
humGainReg906	ENSG00000100612,ENSG00000258896,ENSG00000100612,ENSG00000258563
humGainReg951	ENSG00000063761
humGainReg958	ENSG00000133962
humGainReg989	ENSG00000078304,ENSG00000212330,ENSG00000196663,ENSG00000198752,ENSG00000242837
humGainReg992	ENSG00000166126
