Gene	ModuleAssignment	Blocks	intramodule.Connectivity..unpowered.	HubGenes	external_gene_name
ENSG00000006007	4	2	1617.828075	 	GDE1
ENSG00000006015	8	2	567.589001	 	REX1BD
ENSG00000006016	6	1	1074.385148	 	CRLF1
ENSG00000006025	4	2	1867.863349	 	OSBPL7
ENSG00000006042	2	1	3556.882951	hub10;hub5	TMEM98
ENSG00000006047	25	3	112.1187788	 	YBX2
ENSG00000006059	1	3	2545.905977	 	KRT33A
ENSG00000006062	5	2	1109.728204	 	MAP3K14
ENSG00000006071	0	1	441.5540207	 	ABCC8
ENSG00000006074	1	3	5673.431674	 	NA
ENSG00000006075	22	2	117.8188109	 	NA
ENSG00000006114	8	2	719.3593779	 	NA
ENSG00000006116	2	1	2862.55216	 	CACNG3
ENSG00000006118	4	2	1698.301498	 	TMEM132A
ENSG00000006125	2	1	2990.205089	 	AP2B1
ENSG00000006128	15	3	227.5144467	 	TAC1
ENSG00000006194	4	2	1709.590284	 	ZNF263
ENSG00000006210	25	3	110.7919184	 	CX3CL1
ENSG00000006282	2	1	1357.401914	 	SPATA20
ENSG00000006283	3	1	1364.4222	 	CACNA1G
ENSG00000006327	14	1	233.710127	 	TNFRSF12A
ENSG00000006377	15	3	263.3260533	hub10;hub5	DLX6
ENSG00000006432	8	2	722.477053	 	MAP3K9
ENSG00000006451	7	2	1159.556657	hub10;hub5	RALA
ENSG00000006453	10	1	335.1854153	 	BAIAP2L1
ENSG00000006459	3	1	1798.521769	 	KDM7A
ENSG00000006468	6	1	568.3517202	 	ETV1
ENSG00000006530	3	1	1616.408087	 	AGK
ENSG00000006534	2	1	2747.837041	 	ALDH3B1
ENSG00000006555	0	3	310.199612	 	TTC22
ENSG00000006576	16	1	215.1049584	 	PHTF2
ENSG00000006606	24	1	121.217299	 	CCL26
ENSG00000006607	7	2	1075.220006	 	FARP2
ENSG00000006611	14	1	253.1425722	 	USH1C
ENSG00000006625	2	1	3384.85691	 	GGCT
ENSG00000006634	2	1	3583.787658	hub10;hub5	DBF4
ENSG00000006638	2	1	2398.080277	 	TBXA2R
ENSG00000006652	3	1	1606.411208	 	IFRD1
ENSG00000006659	1	3	3070.834129	 	LGALS14
ENSG00000006695	2	1	1834.459267	 	COX10
ENSG00000006704	5	2	1372.913194	hub10	GTF2IRD1
ENSG00000006712	16	1	194.1419496	 	PAF1
ENSG00000006715	0	1	403.7464934	 	VPS41
ENSG00000006740	4	2	1976.477475	 	ARHGAP44
ENSG00000006744	3	1	1660.330674	 	ELAC2
ENSG00000006747	6	1	1121.934845	 	SCIN
ENSG00000006756	3	1	1638.421348	 	ARSD
ENSG00000006757	3	1	1284.790187	 	PNPLA4
ENSG00000006788	1	3	3364.427397	 	MYH13
ENSG00000006831	3	1	2322.312874	 	ADIPOR2
ENSG00000006837	4	2	1771.397857	 	CDKL3
ENSG00000007001	2	1	2213.394358	 	UPP2
ENSG00000007038	6	1	748.2071444	 	PRSS21
ENSG00000007047	4	2	2145.552734	hub10	MARK4
ENSG00000007062	3	1	2396.20423	 	PROM1
ENSG00000007080	2	1	2479.418869	 	CCDC124
ENSG00000007129	10	1	343.664753	 	CEACAM21
ENSG00000007168	16	1	202.5836364	 	PAFAH1B1
ENSG00000007171	3	1	1932.102334	 	NOS2
ENSG00000007174	3	1	1683.811324	 	DNAH9
ENSG00000007202	7	2	965.0913214	 	KIAA0100
ENSG00000007216	1	3	4250.652086	 	SLC13A2
ENSG00000007237	4	2	2052.329433	 	GAS7
ENSG00000007255	2	1	3322.857789	 	TRAPPC6A
ENSG00000007264	4	2	1107.101293	 	MATK
ENSG00000007306	1	3	5238.59595	 	CEACAM7
ENSG00000007312	6	1	470.2551515	 	CD79B
ENSG00000007314	36	1	81.25118082	 	SCN4A
ENSG00000007341	3	1	2465.946606	 	ST7L
ENSG00000007350	2	1	2778.332379	 	TKTL1
ENSG00000007372	3	1	2862.479709	hub10;hub5	PAX6
ENSG00000007376	9	2	546.9232772	hub10;hub5	RPUSD1
ENSG00000007384	10	1	436.5748026	 	RHBDF1
ENSG00000007392	66	1	42.65764669	 	LUC7L
ENSG00000007402	4	2	1941.442364	 	CACNA2D2
ENSG00000007516	2	1	2010.813552	 	BAIAP3
ENSG00000007520	2	1	2423.414415	 	TSR3
ENSG00000007541	7	2	1008.20454	 	PIGQ
ENSG00000007545	7	2	1137.933904	hub10;hub5	CRAMP1
ENSG00000007866	3	1	2795.500213	hub10	TEAD3
ENSG00000007908	2	2	3099.760603	 	SELE
ENSG00000007923	7	2	891.0048558	 	DNAJC11
ENSG00000007933	1	3	4740.175305	 	FMO3
ENSG00000007944	3	1	1284.425913	 	MYLIP
ENSG00000007952	4	2	1078.222906	 	NOX1
ENSG00000007968	3	1	2755.509116	hub10	E2F2
ENSG00000008018	2	2	2753.108563	 	PSMB1
ENSG00000008056	4	2	2016.527748	 	SYN1
ENSG00000008083	3	1	2431.498552	 	JARID2
ENSG00000008086	4	2	1800.495793	 	CDKL5
ENSG00000008118	0	1	396.7449417	 	CAMK1G
ENSG00000008128	5	2	981.7694702	 	CDK11A
ENSG00000008130	2	1	2901.941248	 	NADK
ENSG00000008196	6	1	1209.349007	hub10;hub5	TFAP2B
ENSG00000008197	25	3	145.5806804	 	TFAP2D
ENSG00000008226	2	1	2719.83227	 	DLEC1
ENSG00000008256	7	2	786.1677691	 	CYTH3
ENSG00000008277	26	1	130.5198956	 	ADAM22
ENSG00000008282	2	1	3433.992808	hub10	SYPL1
ENSG00000008283	0	1	453.3341231	 	CYB561
ENSG00000008294	35	2	62.44362652	 	SPAG9
ENSG00000008300	4	2	2287.715384	hub10;hub5	CELSR3
ENSG00000008311	3	1	2765.131569	 	AASS
ENSG00000008323	6	1	1069.661143	 	PLEKHG6
ENSG00000008324	4	2	1639.195649	 	SS18L2
ENSG00000008382	2	1	2056.090078	 	MPND
ENSG00000008394	29	3	93.7670231	 	MGST1
ENSG00000008405	3	1	1436.217591	 	CRY1
ENSG00000008438	6	1	983.9006825	 	PGLYRP1
ENSG00000008441	4	2	1555.239843	 	NFIX
ENSG00000008513	4	2	1593.314199	 	ST3GAL1
ENSG00000008516	3	1	1119.33548	 	MMP25
ENSG00000008517	10	1	330.5541331	 	IL32
ENSG00000008710	5	2	1403.054069	hub10;hub5	PKD1
ENSG00000008735	4	2	1702.21993	 	MAPK8IP2
ENSG00000008838	7	2	1017.081915	 	MED24
ENSG00000008853	7	2	999.8904837	 	RHOBTB2
ENSG00000008869	2	1	3482.494985	 	HEATR5B
ENSG00000008952	7	2	1152.27097	hub10;hub5	SEC62
ENSG00000008988	8	2	711.4098798	 	RPS20
ENSG00000009307	5	1	1180.424327	 	CSDE1
ENSG00000009335	22	1	165.3742463	hub10;hub5	UBE3C
ENSG00000009413	8	2	732.0641879	 	REV3L
ENSG00000009694	4	2	1485.191625	 	TENM1
ENSG00000009709	6	1	1170.170724	 	PAX7
ENSG00000009724	22	1	110.8135345	 	MASP2
ENSG00000009765	1	3	4523.24491	 	IYD
ENSG00000009780	19	2	183.6693994	 	FAM76A
ENSG00000009790	2	1	2987.431523	 	TRAF3IP3
ENSG00000009830	3	1	2788.254668	hub10	POMT2
ENSG00000009844	5	1	1191.857533	 	VTA1
ENSG00000009950	4	2	1094.925919	 	MLXIPL
ENSG00000009954	3	1	2296.525074	 	BAZ1B
ENSG00000010017	35	2	72.90878865	 	RANBP9
ENSG00000010030	25	3	96.45181882	 	ETV7
ENSG00000010072	19	2	198.2437104	 	SPRTN
ENSG00000010165	2	1	2379.239275	 	EEF1AKNMT
ENSG00000010219	2	1	3110.557255	 	DYRK4
ENSG00000010244	4	2	1947.724136	 	ZNF207
ENSG00000010256	2	1	2921.890878	 	UQCRC1
ENSG00000010270	7	2	977.3293409	 	STARD3NL
ENSG00000010278	6	1	1114.368509	 	CD9
ENSG00000010282	19	2	126.9756296	 	HHATL
ENSG00000010292	3	1	2921.761223	hub10;hub5	NCAPD2
ENSG00000010295	5	2	1219.677525	 	IFFO1
ENSG00000010310	36	1	79.22489708	 	GIPR
ENSG00000010318	5	2	1040.690246	 	PHF7
ENSG00000010319	4	2	1052.717648	 	SEMA3G
ENSG00000010322	9	2	472.5948109	 	NISCH
ENSG00000010327	3	1	2062.506117	 	STAB1
ENSG00000010361	2	1	3506.182337	hub10	FUZ
ENSG00000010379	10	1	412.6344036	 	SLC6A13
ENSG00000010404	2	1	3189.694406	 	IDS
ENSG00000010438	25	3	148.0920248	 	PRSS3
ENSG00000010539	66	1	46.58364686	 	ZNF200
ENSG00000010610	46	2	66.45427286	 	CD4
ENSG00000010626	3	1	1185.652437	 	LRRC23
ENSG00000010671	0	2	383.3204248	 	BTK
ENSG00000010704	10	1	432.0046183	 	HFE
ENSG00000010803	7	2	973.7493663	 	SCMH1
ENSG00000010810	0	1	465.9087959	 	FYN
ENSG00000010818	4	2	1818.114008	 	HIVEP2
ENSG00000010932	6	1	1093.076739	 	FMO1
ENSG00000011007	8	2	720.7459172	 	ELOA
ENSG00000011009	0	1	446.1054926	 	LYPLA2
ENSG00000011021	4	2	2238.886385	hub10;hub5	CLCN6
ENSG00000011028	3	1	2873.269716	hub10;hub5	MRC2
ENSG00000011052	8	2	700.2712593	 	NME1-NME2
ENSG00000011083	4	2	1022.973527	 	SLC6A7
ENSG00000011105	2	1	2386.264853	 	TSPAN9
ENSG00000011114	3	1	1909.405581	 	BTBD7
ENSG00000011132	5	1	1015.138592	 	APBA3
ENSG00000011143	3	1	2633.798559	 	MKS1
ENSG00000011198	4	2	692.3673646	 	ABHD5
ENSG00000011201	25	3	112.0618584	 	ANOS1
ENSG00000011243	5	2	1093.050027	 	AKAP8L
ENSG00000011258	19	2	178.5158437	 	MBTD1
ENSG00000011260	2	2	2747.219443	 	UTP18
ENSG00000011275	7	2	1081.885572	 	RNF216
ENSG00000011295	2	1	3169.836175	 	TTC19
ENSG00000011304	3	1	2850.829469	hub10;hub5	PTBP1
ENSG00000011332	4	2	1420.71294	 	DPF1
ENSG00000011347	4	2	1927.342566	 	SYT7
ENSG00000011376	3	1	2599.393781	 	LARS2
ENSG00000011405	3	1	2687.472961	 	PIK3C2A
ENSG00000011422	3	1	2784.619784	hub10	PLAUR
ENSG00000011426	3	1	2840.117496	hub10;hub5	ANLN
ENSG00000011451	7	2	1055.834166	 	WIZ
ENSG00000011454	0	1	444.6078006	 	RABGAP1
ENSG00000011465	10	1	454.8559541	hub10;hub5	DCN
ENSG00000011478	5	2	1462.238607	hub10;hub5	QPCTL
ENSG00000011485	7	2	694.2849812	 	PPP5C
ENSG00000011523	22	1	161.8565117	hub10;hub5	CEP68
ENSG00000011566	16	1	232.5313018	hub10	MAP4K3
ENSG00000011590	4	2	906.6081397	 	ZBTB32
ENSG00000011600	46	2	68.50427069	 	TYROBP
ENSG00000011638	3	1	2190.952894	 	TMEM159
ENSG00000011677	2	1	3062.72507	 	GABRA3
ENSG00000012048	2	1	3298.880078	 	BRCA1
ENSG00000012061	3	1	2460.833457	 	ERCC1
ENSG00000012124	6	1	1097.175859	 	CD22
ENSG00000012171	10	1	380.7015856	 	SEMA3B
ENSG00000012174	16	1	219.4213624	 	MBTPS2
ENSG00000012211	3	1	2314.895983	 	PRICKLE3
ENSG00000012223	1	3	2339.502718	 	LTF
ENSG00000012232	7	2	584.866213	 	EXTL3
ENSG00000012504	2	1	1498.65845	 	NR1H4
ENSG00000012660	2	1	2285.426128	 	ELOVL5
ENSG00000012779	9	2	356.8005814	 	ALOX5
ENSG00000012817	9	2	323.6627514	 	KDM5D
ENSG00000012822	4	2	1602.717701	 	CALCOCO1
ENSG00000012963	2	1	3024.605554	 	UBR7
ENSG00000012983	22	1	147.137419	 	MAP4K5
ENSG00000013016	9	2	395.2064125	 	EHD3
ENSG00000013275	2	2	2646.442954	 	PSMC4
ENSG00000013288	4	2	2094.577646	hub10	MAN2B2
