HGE_204	UBL4B
HGE_3083	COL27A1
2xHAR.222	KCNJ6
HGE_2780	WBSCR28
HGE_1045	PLEKHO2
HGE_1045	AC069368.3
HGE_1305	SPECC1
HGE_1724	ITGA6
HGE_2730	FERD3L
HGE_2730	FERD3L
HGE_2577	VARS2
HGE_2577	GTF2H4
HGE_2577	MUC21
HGE_2577	MUC22
HGE_2382	FOXD1
HGE_2699	FAM120B
HGE_2699	DLL1
HGE_1541	PLAUR
HGE_1049	LCTL
HGE_1331	WNT3
HGE_1331	WNT9B
HGE_3087	PAPPA
HGE_2043	TMEM115
HGE_401	CDH23
HGE_916	PLEKHG3
HGE_1589	SDC1
HGE_738	FAIM2
HGE_2422	C5orf56
HGE_3102	GSN
HGE_1854	EMILIN3
HGE_629	ARAP1
HGE_629	STARD10
HGE_1575	TRIB2
HGE_2423	C5orf56
HGE_2423	KIF3A
HGE_2646	IL22RA2
HGE_1890	NELFCD
HGE_1139	TNP2
HGE_741	SLC4A8
HGE_741	GALNT6
HGE_741	AC068987.1
HGE_2155	HES1
HGE_1188	IRX3
HGE_2547	WRNIP1
HGE_2736	EVX1
2xHAR.389	ADAMTS9
HGE_382	PHYHIPL
HGE_564	TRIM44
HGE_2641	NCOA7
2xHAR.181	HOXA1
2xHAR.181	HOXA5
2xHAR.181	HOXA6
2xHAR.181	HOXA3
2xHAR.181	HOXA9
HGE_552	HTATIP2
HGE_1601	ADCY3
HGE_727	LRP6
HGE_2030	ITGA9
2xHAR.419	HMX3
HGE_2493	FOXI1
HGE_2493	FOXI1
HGE_234	PRRX1
HGE_872	BCL2L2
HGE_872	HOMEZ
HGE_872	BCL2L2-PABPN1
HGE_872	PPP1R3E
HGE_1853	EMILIN3
HGE_2949	CDH17
HGE_2949	GEM
HGE_1964	NPTXR
HGE_1964	APOBEC3H
HGE_1964	CBX7
HGE_1140	SOCS1
HGE_1140	RMI2
HGE_2724	ACTB
HGE_911	PRKCH
HGE_1519	C19orf60
HGE_1519	CRTC1
HGE_1519	UPF1
HGE_587	CD6
HGE_2495	LCP2
HGE_2495	KCNIP1
HGE_1040	TPM1
HGE_1739	SPATS2L
HGE_227	ETV3
HGE_1026	PRTG
HGE_1596	RHOB
HGE_2852	EN2
HGE_2852	AC008060.7
HGE_2852	EN2
HGE_3141	C9orf171
HGE_75	WNT4
HGE_75	LUZP1
HGE_1203	CES2
HGE_1203	FAM96B
HGE_712	WNT5B
HGE_329	GATA3
HGE_3129	ABL1
HGE_573	CREB3L1
HGE_1319	TMEM132E
HGE_1319	C17orf102
HGE_31	CASZ1
HGE_963	ITPK1
HGE_1122	SNRPA1
HGE_1031	CGNL1
HGE_2832	TRIM24
HGE_652	PICALM
HGE_1088	MESP1
HGE_2268	CBR4
HGE_1328	FZD2
HGE_1328	CCDC43
2xHAR.426	ZNF703
HGE_374	GPRIN2
HGE_374	NPY4R
HGE_930	ACTN1
HGE_2999	EPPK1
HGE_1859	JPH2
HGE_1325	ATP6V0A1
HGE_1967	NPTXR
HGE_1967	APOBEC3B
HGE_1967	CBX7
HACNS_807	KRT15
HACNS_807	KRT19
HACNS_881	GPRC5B
2xHAR.508	LRRC15
HGE_581	PTPRJ
HGE_977	DLK1
HGE_1027	PRTG
HGE_2230	ANTXR2
HGE_2230	PRDM8
HGE_2156	HES1
HGE_2156	LRRC15
HACNS_242	PAPPA-AS1
HGE_747	TENC1
HGE_747	IGFBP6
HGE_747	SOAT2
HGE_1670	KRCC1
HGE_80	ID3
HGE_2517	PHYKPL
HGE_89	SDC3
HGE_1606	DPYSL5
HGE_1959	TMEM184B
HGE_2218	RBM47
HACNS_646	NEO1
HGE_1865	SNAI1
HGE_2958	KCNS2
HGE_1754	TNP1
HGE_998	NDN
HGE_1866	SNAI1
HGE_35	TNFRSF1B
HGE_1184	RP11-324D17.1
HGE_627	ARAP1
HGE_627	STARD10
2xHAR.284	TCP11
HGE_2514	SH3PXD2B
HGE_2514	DUSP1
HGE_3139	C9orf171
HGE_1587	WDR35
HGE_1587	MATN3
HGE_1587	SDC1
HGE_2970	EXT1
HGE_3085	DFNB31
HGE_3117	LMX1B
HGE_3117	LMX1B
HGE_1348	VEZF1
HGE_1348	OR4D1
HGE_2851	EN2
HGE_2152	HES1
HGE_367	FZD8
HGE_2563	C6orf52
HGE_2563	PAK1IP1
HGE_2563	GCNT6
HGE_2986	MYC
HGE_1795	IQCA1
HGE_901	RP11-1085N6.3
HGE_2158	HES1
HGE_2158	GP5
HGE_1819	SLX4IP
HGE_1819	MKKS
HGE_1745	CREB1
HGE_180	BARHL2
HGE_937	PAPLN
HGE_742	SLC4A8
HGE_742	GALNT6
HGE_742	AC068987.1
HGE_2580	PPARD
HGE_325	CALML3
HGE_1372	LLGL2
HGE_2079	ADCY5
HGE_1503	PQLC1
HACNS_622	ETV5
HGE_2759	C7orf69
HGE_636	CHRDL2
HGE_1379	CYTH1
HGE_825	N4BP2L1
HGE_1550	ZNF579
HGE_1550	FIZ1
HGE_1550	ZNF524
HGE_1108	IGF1R
HGE_406	VCL
HGE_406	VCL
HGE_354	LYZL1
HGE_531	NAP1L4
HACNS_510	SOX21
HGE_778	ISCU
HACNS_332	ARAP3
HGE_2607	VEGFA
HGE_2607	C6orf223
HGE_280	EPHX1
HGE_280	PYCR2
HGE_280	RP4-559A3.7
HGE_280	LEFTY2
HGE_2148	LEPREL1
HGE_1726	SP3
HGE_608	MYEOV
HGE_1425	CABLES1
HGE_466	PRDX3
HACNS_768	SLC24A4
HGE_554	RCN1
HGE_1963	NPTXR
HGE_1963	APOBEC3H
HGE_1963	CBX7
HGE_1166	GSG1L
HGE_908	SIX1
HGE_908	SIX1
HGE_896	DLGAP5
HGE_1091	ST8SIA2
HGE_632	ARAP1
HGE_632	STARD10
HGE_3032	FAM122A
HGE_1322	KRT9
HGE_2134	SOX2
HGE_754	HMGA2
HGE_2882	GATA4
HGE_2575	KAAG1
HGE_2575	DCDC2
HGE_2722	MMD2
HGE_1484	KDSR
HGE_2386	PDE8B
HGE_2200	SORCS2
