Enhancer	hic.CP	hic.GZ	hic.CP.promoter	hic.GZ.promoter
HACNS_286	NA	NA	NA	NA
HACNS_928	NA	NA	NA	NA
HACNS_990	NA	NA	NA	NA
HACNS_952	NA	NA	NA	NA
HARv2_442	NA	NA	NA	NA
HACNS_972	NA	NA	NA	NA
HACNS_90	ENSG00000122584,ENSG00000234710,ENSG00000235431	ENSG00000122584,ENSG00000233876,ENSG00000234710	NA	ENSG00000233876
HARv2_272	NA	NA	NA	NA
HACNS_146	NA	NA	NA	NA
HARv2_165	NA	NA	NA	NA
HARv2_173	NA	NA	NA	NA
HACNS_370	NA	NA	NA	NA
HACNS_9,HARv2_266	NA	ENSG00000136267	NA	NA
HACNS_355,HARv2_76	NA	NA	NA	NA
HARv2_237	NA	NA	NA	NA
HARv2_231	NA	NA	NA	NA
HACNS_912,HARv2_105	ENSG00000048052	ENSG00000048052	NA	NA
HARv2_372	ENSG00000048052	ENSG00000048052	NA	NA
HARv2_107	NA	NA	NA	NA
HACNS_812	NA	ENSG00000105889	NA	NA
HARv2_501	ENSG00000136237,ENSG00000136231	ENSG00000136237	ENSG00000136237	NA
HACNS_534	NA	NA	NA	NA
HARv2_385	NA	NA	NA	NA
HARv2_291	NA	NA	NA	NA
HACNS_347	NA	NA	NA	NA
HACNS_125	NA	NA	NA	NA
HACNS_767	NA	ENSG00000189212	NA	NA
HACNS_226	NA	ENSG00000106536	NA	NA
HACNS_559	NA	NA	NA	NA
HACNS_184	NA	NA	NA	NA
HACNS_369	NA	NA	NA	NA
HACNS_174	NA	ENSG00000158321	NA	NA
HACNS_819	NA	NA	NA	NA
HACNS_153	ENSG00000058091	NA	NA	NA
HACNS_905	ENSG00000158560,ENSG00000004864	NA	NA	NA
HACNS_485	ENSG00000158560,ENSG00000004864	ENSG00000158560,ENSG00000004864	NA	NA
HACNS_913	ENSG00000158560,ENSG00000004864	ENSG00000158560,ENSG00000004864	NA	NA
HACNS_904	NA	NA	NA	NA
HACNS_603	NA	NA	NA	NA
HACNS_861	NA	NA	NA	NA
HACNS_750	NA	NA	NA	NA
HACNS_506	NA	NA	NA	NA
HARv2_502	NA	NA	NA	NA
HACNS_169	NA	NA	NA	NA
HACNS_782	NA	NA	NA	NA
HACNS_48	NA	ENSG00000105967	NA	NA
HARv2_429	NA	NA	NA	NA
HARv2_161	NA	NA	NA	NA
HACNS_949	ENSG00000179603	NA	NA	NA
HACNS_825	NA	ENSG00000179603	NA	NA
HACNS_869	ENSG00000207705,ENSG00000174697	ENSG00000207705,ENSG00000242588	ENSG00000207705,ENSG00000174697	ENSG00000207705
HARv2_485	NA	NA	NA	NA
HACNS_739	NA	NA	NA	NA
HARv2_143	ENSG00000244479,ENSG00000221970	ENSG00000244479,ENSG00000221970	ENSG00000221970	ENSG00000221970
HACNS_116	NA	NA	NA	NA
HACNS_97	NA	NA	NA	NA
HARv2_395	NA	NA	NA	NA
HACNS_884	NA	ENSG00000174469	NA	NA
HACNS_590	NA	NA	NA	NA
HACNS_954	NA	NA	NA	NA
HARv2_85	NA	NA	NA	NA
HACNS_940	NA	ENSG00000253880	NA	NA
HACNS_701	NA	ENSG00000255549	NA	ENSG00000255549
HACNS_963	ENSG00000253184	NA	NA	NA
HACNS_594	ENSG00000129422,ENSG00000253168	ENSG00000265520,ENSG00000129422,ENSG00000253168	ENSG00000129422,ENSG00000253168	ENSG00000265520,ENSG00000129422,ENSG00000253168
HACNS_464	NA	NA	NA	NA
humGainReg2888	NA	NA	NA	NA
HACNS_599	ENSG00000189233,ENSG00000134014	ENSG00000189233,ENSG00000134014,ENSG00000253690	ENSG00000189233,ENSG00000134014	ENSG00000189233,ENSG00000134014
HARv2_247	NA	NA	NA	NA
HACNS_492	ENSG00000253684,ENSG00000253642	ENSG00000253642	ENSG00000253684	NA
HACNS_435	ENSG00000253642	ENSG00000253642	NA	NA
HARv2_496	NA	ENSG00000253452	NA	NA
HARv2_473	NA	NA	NA	NA
HACNS_793	NA	NA	NA	NA
HARv2_426	ENSG00000253161	ENSG00000215262,ENSG00000187840	NA	ENSG00000187840
HACNS_709	NA	NA	NA	NA
HACNS_545	NA	NA	NA	NA
HACNS_943	NA	NA	NA	NA
HACNS_272	NA	NA	NA	NA
HACNS_235,HARv2_307	NA	NA	NA	NA
HACNS_423	ENSG00000252358,ENSG00000253554,ENSG00000254377,ENSG00000207816	ENSG00000253554,ENSG00000254377,ENSG00000207816	ENSG00000252358,ENSG00000253554,ENSG00000254377,ENSG00000207816	ENSG00000253554,ENSG00000254377,ENSG00000207816
HARv2_481	NA	NA	NA	NA
HARv2_74	NA	NA	NA	NA
HACNS_692	NA	NA	NA	NA
HACNS_788	NA	NA	NA	NA
HACNS_882	NA	ENSG00000221947	NA	NA
HACNS_896	ENSG00000182674	ENSG00000182674	NA	NA
HARv2_547	ENSG00000091656	NA	ENSG00000091656	NA
HACNS_252	NA	NA	NA	NA
HARv2_418	NA	NA	NA	NA
HACNS_419	NA	NA	NA	NA
HACNS_422	NA	NA	NA	NA
HARv2_396	NA	NA	NA	NA
HACNS_126	NA	NA	NA	NA
HACNS_561	NA	NA	NA	NA
HACNS_334	NA	NA	NA	NA
HARv2_224	NA	NA	NA	NA
HARv2_221	NA	NA	NA	NA
HACNS_54	NA	NA	NA	NA
HARv2_311	NA	NA	NA	NA
HARv2_549	NA	NA	NA	NA
HACNS_476	NA	ENSG00000164796	NA	NA
HARv2_96	NA	NA	NA	NA
HARv2_366	NA	NA	NA	NA
HARv2_129	NA	NA	NA	NA
HACNS_43	NA	ENSG00000104447	NA	NA
HACNS_667	NA	NA	NA	NA
HACNS_805	NA	NA	NA	NA
HACNS_945	NA	NA	NA	NA
HACNS_210	NA	NA	NA	NA
HACNS_469	NA	NA	NA	NA
HACNS_816	NA	NA	NA	NA
HACNS_728	NA	ENSG00000254101	NA	NA
HACNS_322	NA	NA	NA	NA
HACNS_356	ENSG00000253605,ENSG00000226807,ENSG00000221123,ENSG00000254183,ENSG00000265247,ENSG00000171045,ENSG00000234616,ENSG00000167653	ENSG00000221123,ENSG00000253602,ENSG00000171045,ENSG00000261693,ENSG00000234616,ENSG00000167653,ENSG00000160886,ENSG00000160882,ENSG00000104499	ENSG00000253605,ENSG00000221123,ENSG00000265247,ENSG00000171045,ENSG00000167653,ENSG00000234616	ENSG00000221123,ENSG00000253602,ENSG00000171045,ENSG00000261693,ENSG00000167653,ENSG00000234616,ENSG00000160886,ENSG00000160882
HACNS_76	ENSG00000080503	NA	ENSG00000080503	NA
HARv2_259	ENSG00000107099	ENSG00000224836	ENSG00000107099	ENSG00000224836
HARv2_144,HACNS_521	NA	NA	NA	NA
HARv2_152	ENSG00000080503,ENSG00000222973,ENSG00000264615,ENSG00000236404	ENSG00000080503,ENSG00000264615	ENSG00000080503,ENSG00000222973,ENSG00000264615	ENSG00000080503,ENSG00000264615
HARv2_302	NA	ENSG00000107249	NA	NA
HACNS_93	NA	NA	NA	NA
HARv2_242	NA	NA	NA	NA
HACNS_3,HARv2_136	NA	NA	NA	NA
HARv2_359	NA	NA	NA	NA
HACNS_300	NA	NA	NA	NA
HARv2_185	NA	NA	NA	NA
HARv2_554	NA	NA	NA	NA
HACNS_675	NA	NA	NA	NA
HACNS_339	NA	NA	NA	NA
HACNS_209	NA	NA	NA	NA
HACNS_86	NA	NA	NA	NA
HACNS_792	NA	ENSG00000226197	NA	NA
HARv2_19	NA	NA	NA	NA
HARv2_172	NA	NA	NA	NA
HARv2_463	ENSG00000270547,ENSG00000226197	ENSG00000270547,ENSG00000226197	ENSG00000270547,ENSG00000226197	ENSG00000270547,ENSG00000226197
HARv2_54	ENSG00000225472,ENSG00000147862,ENSG00000164989	NA	NA	NA
HARv2_509	NA	NA	NA	NA
HARv2_163	NA	ENSG00000164989,ENSG00000173068	NA	NA
HARv2_535	ENSG00000044459	NA	NA	NA
HACNS_865	NA	NA	NA	NA
HARv2_101	NA	ENSG00000164989	NA	NA
HACNS_556,HARv2_156	NA	NA	NA	NA
HACNS_400	ENSG00000044459	ENSG00000164989	NA	NA
HACNS_128	NA	ENSG00000155875	NA	NA
HACNS_566	ENSG00000155875	NA	NA	NA
HACNS_190	NA	NA	NA	NA
HACNS_387	NA	NA	NA	NA
HACNS_980	NA	NA	NA	NA
HACNS_541	NA	NA	NA	NA
HACNS_591	NA	NA	NA	NA
HACNS_418	NA	NA	NA	NA
HACNS_574	NA	NA	NA	NA
HARv2_69	NA	NA	NA	NA
HARv2_410	NA	NA	NA	NA
HACNS_636	NA	NA	NA	NA
HACNS_523	NA	NA	NA	NA
HARv2_534	NA	NA	NA	NA
HACNS_578	NA	NA	NA	NA
HARv2_86	ENSG00000165304	NA	ENSG00000165304	NA
HACNS_36	ENSG00000083067,ENSG00000224437	ENSG00000083067	ENSG00000224437	NA
HACNS_357	NA	ENSG00000165091	NA	NA
HACNS_519	NA	NA	NA	NA
HACNS_142	NA	NA	NA	NA
HACNS_609	NA	NA	NA	NA
HACNS_324	NA	NA	NA	NA
HACNS_266	NA	NA	NA	NA
HACNS_241	NA	NA	NA	NA
HACNS_730	NA	NA	NA	NA
HACNS_455	NA	NA	NA	NA
HACNS_551	NA	NA	NA	NA
HACNS_971	NA	NA	NA	NA
